Date time,Purpose,Amount (BTC),* Exchange rate,Amount (CAD)
2021-07-07 12:04:15 GMT,Hashpower mining,0.00001074,43231.37,0.46
2021-07-07 12:04:15 GMT,Hashpower mining fee,-0.00000021,43231.37,-0.01
2021-07-07 16:06:33 GMT,Hashpower mining,0.00001140,43231.37,0.49
2021-07-07 16:06:33 GMT,Hashpower mining fee,-0.00000023,43231.37,-0.01
2021-07-07 20:04:21 GMT,Hashpower mining,0.00001106,43231.37,0.48
2021-07-07 20:04:21 GMT,Hashpower mining fee,-0.00000022,43231.37,-0.01
2021-07-08 00:06:14 GMT,Hashpower mining,0.00001068,43231.37,0.46
2021-07-08 00:06:14 GMT,Hashpower mining fee,-0.00000021,43231.37,-0.01
2021-07-08 08:05:30 GMT,Hashpower mining,0.00001921,43231.37,0.83
2021-07-08 08:05:30 GMT,Hashpower mining fee,-0.00000038,43231.37,-0.02
2021-07-08 12:04:10 GMT,Hashpower mining,0.00001039,41069.83,0.43
2021-07-08 12:04:10 GMT,Hashpower mining fee,-0.00000021,41069.83,-0.01
,Hashpower mining fee,-0.00000146,,-0.07
,Hashpower mining,0.00007348,,3.15
∑,Total,0.00007202,,3.08
